gene,LMP_R1,LMP_R2,LMP_R3,LMP_R4,NML_genes.fpkm,PSO2_R1,PSO2_R2,PSO2_R3,PSO3_R1,PSO3_R2,PSO3_R3,PSO3_R4
A4GALT,52.2097,0,0,0,13.614,30.996,1.2766,0,2.63515,2.311,3.03313,2.07858
AADAT,2.48082,1.83104,3.18292,4.14716,5.65939,1.27419,3.60029,3.5538,1.29226,0,2.16835,1.96964
AAR2,13.6006,16.182,10.5833,14.3225,12.7492,10.9397,12.8245,9.45974,3.80149,6.10188,8.13007,2.71137
AARS,0,0,0,0,0,0,0,0,0,0,17.2917,0
AARSD1;PTGES3L;PTGES3L-AARSD1,21.9372,0,13.9604,20.7454,20.0987,12.8544,15.3242,8.64259,13.7635,8.53086,9.0148,9.10058
AASS,3.03343,1.9293,5.00337,2.42479,10.6923,2.08842,3.08644,2.92145,3.70063,1.55513,5.45549,2.06552
AATF,42.1538,36.9886,21.8652,42.3317,20.7853,22.4907,30.2307,11.3594,0,8.04529,12.1807,3.83133
ABCA1,0,0,0,0,0,0,0,4.64355,0,0,0,0
ABCA10;ABCA5,1.54469,1.87234,2.15988,2.38418,0,1.13129,0.759919,0.691238,2.49078,0.934974,0.967473,0.669793
ABCA13,0.706085,0,2.02723,1.3857,0,0.596369,0.0122164,0.122373,0.203812,0,0.068605,1.57253
ABCA8,2.26875,0.89515,0,0.0487251,9.76382,0.987711,1.39916,0.0789369,0,1.38101,0.29252,4.30929
ABCA8;ABCA9,0,0,2.72161,0,0,0,0,0,0,0,0,0
ABCA9,0.310464,0.248379,0,0.0151861,4.42574,0.984915,0.17362,0.0685676,0.0926546,0.277412,0.377011,0.815945
ABCB10,0,0,0,0,0,0,0,0,0,0,1.50153,0
ABCB6,6.99283,8.57641,13.0876,7.70164,7.09038,12.059,13.1233,7.48902,4.39217,3.10677,0,2.15639
ABCB7,0,0,0,0,13.4224,0,0,0,0,0,0,0
ABCC1,0,17.6067,13.8889,16.1906,1.56637,12.0339,9.04081,0,0,0,0,0
ABCC3,5.56503,0,0,18.2678,0.219038,10.3035,16.5022,6.36918,10.381,1.83279,2.73113,8.03746
ABCC4,7.66758,5.77928,5.10285,4.16378,0.844242,5.80807,4.3251,3.29581,2.65645,4.45753,5.43845,4.24358
ABCC9,1.04302,0.0923913,0.0991204,0.0175033,4.44398,0.0471794,0.438677,0.0604973,0.0351169,1.42451,0.588045,0.683408
ABCD3,9.25027,11.7414,0,8.06219,3.3357,7.16285,10.8214,5.45736,0,0,6.01709,0
ABCD4,0,0,0,0,0,0,0,0,7.92479,0,0,0
ABCF2,11.4928,0,6.36599,18.8729,6.41561,0,12.6308,11.1931,3.20209,8.41248,5.41056,3.11572
ABCG2,0.453849,0.336126,0,0.0596607,1.60349,0,0,0.204142,0.0453882,0.68347,0.123135,0
ABCG4,0.220186,0.399757,0.461349,0.0338528,0,2.6242,0.0204435,0.729038,0.0930168,0,0.127542,0.144117
ABHD10,6.57269,8.30759,5.51039,5.68055,6.1591,6.53242,6.73441,5.41576,2.34748,3.27511,6.12644,1.752
ABHD11,16.906,37.2008,35.3094,71.0327,5.59836,30.1768,0,41.7932,0,0,0,0
ABHD13,2.34416,3.09413,0,1.46707,1.46143,1.72261,3.69088,0.899009,0.563092,0.987658,0,0.557199
ABHD14B,32.8759,37.339,16.6413,39.8155,28.7663,23.3917,20.2154,24.6045,12.5685,10.7711,7.81204,0
ABHD16A,0,0,0,0,0,0,0,0,0,0,0,6.72164
ABHD2,12.5489,17.9586,13.3223,10.3887,4.00738,7.16981,12.1202,0,0.906915,2.77218,1.58149,2.79741
ABHD6,0,0,0,0,0,0,2.76371,0,0,0,0,0
ABI3BP,5.84963,0.478408,0,0.209138,12.5191,4.41761,1.65092,0.213654,1.13175,1.8006,1.75839,6.40798
ABLIM1,48.8931,0,0,0,0,0,0,0,12.7531,0,0,0
ABLIM3,2.38815,4.43777,1.54135,4.91036,12.8548,4.35756,1.14148,0.796326,0.0881273,0.299885,0.426677,0
ABO,0,6.59952,0,0,0,0,0,0,0,0,0,0
ABP1,0.522489,0.789588,2.09638,1.28609,0,32.2418,0.126591,10.1099,0,1.16103,0.166467,0.0691507
ABRACL,44.9637,50.2765,33.7039,65.0691,10.2609,29.6169,162.878,28.9722,10.6718,24.0005,22.4347,25.5778
ABT1,0,0,0,0,0,0,0,0,3.33556,0,0,0
ACAA2,21.3058,22.2632,11.1457,12.7344,8.61945,0,10.955,11.4453,0,3.13101,7.93042,3.23473
ACACB,3.08794,1.32566,2.84449,0.272083,8.74179,2.52827,1.01706,3.74836,2.93868,0.291478,0,1.36881
ACADM,16.264,12.949,8.86587,9.34007,11.5413,9.01905,10.8114,0,4.8878,0,0,1.55004
ACADSB,2.91469,3.82741,0,2.28562,2.99466,1.09901,0,1.38231,0.999595,0.606382,1.02414,1.01443
ACAP3,2.27737,2.95395,3.34039,3.35988,14.2151,0,3.14156,5.79684,4.59462,0,5.21044,5.20838
ACAT1,0,0,0,0,0,0,0,0,0,0,0,2.50672
ACBD3,15.7946,20.087,11.1544,16.2091,9.85716,17.1021,20.3213,15.3224,9.4089,10.5658,5.89678,24.6215
ACBD5,6.8224,8.75448,5.0898,7.08606,1.99276,4.30624,7.06861,2.5083,0,0,0,1.43585
ACBD6,21.2662,28.5957,16.1156,29.3664,20.9585,30.855,35.8882,20.8943,0,0,0,0
ACBD7,1.40964,3.3879,0,0.975326,0.0672776,0.46427,2.05263,2.15303,0.99925,1.41344,4.5311,0.396619
ACE,6.0284,2.27934,1.19656,2.94006,3.9926,5.26808,6.65505,11.1364,2.4325,1.11307,1.36512,4.63171
ACER2,0,0,3.70579,0,0,0,0,0,0,0,0,0
ACLY,0,0,0,0,0,0,0,0,0,0,0,11.3462
ACN9,14.1747,9.761,8.66597,20.8042,0,13.4756,26.3886,5.75973,3.77761,0,0,1.65689
ACOT7,12.2202,9.75313,7.082,13.2735,7.3819,6.07424,0,5.50323,1.38896,2.66288,5.54037,1.88591
ACOT9,0,0,0,0,0,0,0,0,0,0,6.04426,0
ACOXL,0,1.29962,0,0,0,0,0,0,0,0,0,0
ACP1,40.439,47.8773,28.6578,42.5041,0,46.0948,40.7783,27.656,0,0,26.4325,0
ACP5,9.29989,8.07676,5.55115,5.15347,3.60499,31.5457,122.639,19.431,0,5.29553,4.9025,180.316
ACSF3,7.7777,5.2832,3.06246,6.05669,3.76138,4.72541,2.99153,3.8175,1.35327,1.59196,2.09522,1.08627
ACSL1,8.52214,11.6629,6.6305,3.67533,4.72547,20.3342,44.0978,5.83097,4.70468,8.97208,8.03357,21.7091
ACSL4,12.9095,0,0,0,0,10.1054,0,0,0,0,0,11.648
ACSL5,11.557,10.5388,15.7372,8.25625,3.09974,0,5.86626,6.17835,12.3803,0,0,0
ACSS1,8.56384,7.55247,10.0152,8.52697,5.79477,8.18869,5.34313,7.83536,1.55556,0,5.05323,0
ACTBL2,0.06309,1.54415,0.235787,0.516072,0,0.0766065,1.51176,0.240454,0.0127091,0.111879,0.0233018,0.0980122
ACTC1,5.1865,0.00844217,0,0,0.539627,0.0270302,0.0273983,0.0435534,0.00967684,0,0.00912699,0.136503
ACTG1,0,0,0,0,0,0,0,0,0,1.207,0,0
ACTG2,2453.27,5.28304,13.9892,1.1831,1071.71,76.9657,13.701,10.7943,0.498353,1.23637,5.34449,11.1978
ACTN1,0,107.314,0,0,85.0476,113.005,125.419,0,0,0,55.7282,0
ACTR10,0,0,0,0,0,0,0,0,3.58347,0,0,0
ACTR1A,0,0,0,0,0,0,0,0,4.28003,0,0,0
ACTR1B,30.6556,53.9605,37.7806,53.3016,37.3124,58.354,34.8702,48.903,11.7126,13.4399,27.139,11.0803
ACTR2,41.0585,56.4347,25.3124,36.0136,20.2571,43.3897,102.524,0,18.2026,19.975,27.8318,17.5607
ACTR3,62.731,75.7294,37.1597,51.6539,29.3508,54.0953,130.43,31.507,26.9122,26.0751,38.4647,31.4092
ACTR6,17.754,20.2236,10.7454,14.0013,11.7864,8.4308,14.6761,7.51473,0,0,6.64793,0
ACVR1B,14.1803,14.7892,13.2024,13.9528,2.79407,6.37174,6.20364,6.0715,1.91414,4.16841,10.4919,2.08303
ADAM12,0,0,2.64448,0.332712,0.0155391,0,15.8084,0,1.13083,0,0,0
ADAM2,0,0,0,0,0,0,0,0,0,0,1.26467,0
ADAM22,1.12897,0.418218,0,0.112235,1.58093,0.383458,1.07073,0.351762,4.56082,1.04633,0,0
ADAM28,0,0,0,0,0,0,5.66833,0,0,0,0,0
ADAM33,0,0,0,0,46.782,0,0,0,0,0,0,0
ADAM9,25.0274,54.0292,13.6347,31.7121,6.98008,40.2385,31.4687,5.43631,5.20003,10.6456,0,10.1815
ADAMDEC1,1.21054,0.530425,0.16364,0.0510647,0,1.01528,30.6014,0.0634696,0.127486,0,0.675308,1.28685
ADAMTS12,0,0,0,0,0,0,4.16859,0,0,0,0,0
ADAMTS18,1.20902,0.523765,0.797449,0.0157105,0,0.396821,0.154791,1.13553,0.0503685,0,0.506012,0
ADAMTS5,0.647297,0.420558,0.189219,0.0964239,2.0712,0.165307,2.44939,0.20266,0.225579,0.895753,0,1.478
ADAMTS8,1.8748,0.799481,0,0,1.74779,0.274597,0.0245958,0.162076,0,0.0904803,0.12155,0.097504
ADAMTSL3,0,0,0,0,0,0,0,0,0,1.01983,0,0
ADAMTSL4,4.00062,1.33936,0,0.874008,8.92298,0,8.47076,0,0,0,0,9.49235
ADAP1,12.3174,20.1687,15.6344,28.874,1.2625,11.9708,5.666,19.5066,3.02142,3.82646,4.51838,0
ADAT3;SCAMP4,0,0,0,0,0,0,11.2504,0,0,0,0,0
ADCK2,10.5826,12.5684,6.86903,23.8942,7.33912,15.1597,13.8037,20.4686,6.33739,0,3.77811,0
ADCK3,16.7906,13.9186,13.2705,9.33169,26.8423,11.0983,8.85966,5.65352,4.63849,8.67018,7.00081,4.89025
ADCY10P1;NFYA,3.62497,5.60635,3.15876,0,1.09328,5.69166,6.61392,4.26676,2.67977,2.20512,2.1986,1.39791
ADCY2,0.123069,0.0590071,0.051135,0,0.92548,0.104069,0.0219595,0.0643503,0.0581776,0.813378,0,0.179814
ADCY5,9.71867,2.63615,13.7654,3.04165,4.92694,1.95461,0.202514,7.94595,0,0.329422,0.861064,0.0854231
ADCY9,0,0,0,0,0,0,0,0,0,0,0,0.971529
ADCYAP1R1,0,12.356,0,0,0,0,0,0,0,0,0,0
ADD1,49.2175,53.1211,29.2592,39.6574,62.3903,37.5569,32.6542,0,0,0,0,9.30144
ADD2,0,0,0,0,0,0,0,0,0,0,0.477841,0
ADGB,2.13378,3.01258,0,0.738597,0,0,0,0,0.133016,0.0735907,0.822966,0
ADH1B,27.1811,0,0.347077,0,130.982,0.134008,0.088554,0,0,0,8.44946,0
ADH5,0,0,0,0,0,0,0,0,4.37412,0,0,5.73221
ADI1,33.2826,34.9215,25.3917,25.4432,40.2415,35.3865,44.697,34.3929,15.2081,18.3622,15.8596,8.52175
ADIPOR1,56.624,81.7283,60.6851,60.549,0,64.7176,54.9907,39.946,19.6864,17.601,0,0
ADIRF;AGAP11,129.198,165.906,40.825,115.725,1458.13,66.642,5.41452,150.4,295.563,56.0939,19.4958,52.0139
ADM,44.4879,0,6.23014,0,0,88.23,0,9.21582,2.51867,4.90381,0,0
ADM2,0.285518,0.553401,0.161713,0.163818,0,3.55535,0.318509,0.501919,1.20812,0.42573,0.289995,0.271085
ADNP2,3.71702,6.16592,0,4.3157,2.46536,2.82014,0,1.99056,1.81566,0,1.94522,0
ADO,6.48678,7.52506,4.12055,5.66931,3.69514,7.20278,10.0587,4.90376,0.731699,2.69498,3.28452,1.72093
ADORA1,4.4485,4.09004,0.904738,3.55061,0.350646,0,7.24333,6.22412,0.309919,1.34895,0.63754,0.69001
ADORA2B,0,0,0,0,0,0,3.08892,0,0,0,0,0
ADORA3,5.92368,3.99502,3.05659,0.239001,0,0,5.47005,2.17534,1.86519,2.50654,0.965701,0
ADSL,38.0019,37.707,19.8152,37.1708,19.864,27.1837,37.9611,9.79876,5.48491,0,0,0
ADSS,23.5929,34.4469,24.2544,24.7182,5.34828,21.4874,20.7085,8.78823,13.229,11.9418,10.9813,8.18517
ADTRP,1.84273,0.560383,2.08854,0.961057,0,0.863276,2.09701,1.0425,0.0826888,1.07874,0.297198,0
AEBP1,93.9845,61.6211,0,4.36347,127.456,0,81.8775,19.1754,0,28.0955,38.5432,0
AEN,0,0,0,0,0,0,0,0,0,3.78873,0,0
AES,177.2,246.26,152.417,297.119,498.89,156.025,78.3865,140.84,99.3334,63.1813,41.3949,56.4739
AFAP1L1,2.06241,0.836545,0.435703,0.779832,6.44372,0,1.38254,0.603677,0.144192,0.907455,0,0
AFAP1L2,24.1843,40.7592,0,27.3594,7.32416,1.95705,4.55538,0,0.528647,0,0,0
AFF1,0,0,0,0,0,0,0,0,0,0,2.17717,0
AFF2,5.17798,4.98369,0.673558,1.95517,0.0166212,1.43893,0.0363754,0.0132404,0.00227441,0.0365573,0.104709,0.044231
AGA,4.76016,7.50776,3.94807,5.83323,3.2024,5.04066,11.5761,4.22797,1.54777,0,2.11448,1.30701
AGBL2,2.97137,7.1933,8.6253,2.80673,0.0660599,0.128527,0.243629,0,3.99321,2.36166,1.53938,35.2917
AGFG1;MIR5703,9.50897,11.8613,0,2.76596,1.74727,4.17925,31.9582,2.73768,2.26255,0,0,0
AGFG2,3.87228,6.76181,4.30643,6.35751,4.24934,8.79596,3.02334,8.0076,3.11178,1.00504,1.65412,3.02453
AGGF1,8.0098,9.01534,5.36265,6.21648,4.17557,3.7621,8.38737,0,3.14831,1.76872,3.95613,3.25081
AGL,5.89511,3.61205,3.16726,3.0496,0,2.52299,2.92764,1.60907,2.14594,0,0,0
AGPAT2,0,0,0,0,0,0,13.3642,0,0,0,0,0
AGPAT3,10.9298,16.3295,7.16512,12.1037,3.39086,0,10.3166,7.20064,13.2404,3.14458,5.92142,2.47626
AGPAT5,5.85788,6.89642,3.60137,3.9258,3.10805,3.4829,6.26301,1.39904,0.537161,1.60067,0,0
AGPS,4.69404,7.78365,0,4.67456,2.46621,2.9838,4.87333,1.96458,1.8806,0,0,3.78533
AGR3,60.3042,162.848,149.271,102.965,0,0.821077,0.167712,3.1569,1.26053,0.710519,4.45497,1.8475
AGRN,56.9359,123.534,67.0021,97.1365,5.32819,72.0893,20.8059,58.3474,23.9125,82.7235,78.3148,11.3062
AGT,6.93641,0.793621,0.552698,0.0434318,4.04767,0.680026,4.58884,0.281349,0.019533,0.0642669,0.127846,1.00911
AGTPBP1,0,0,4.29671,0,0,0,0,0,0,0,0,0
AGTR1,0.41435,0.0846511,0.184927,0,3.09238,0.117999,0.427066,0.064597,0.0285747,0.233878,0.25511,0.262382
AGTR2,0.41324,0,0,0,0.763783,0,0,0,0.0209174,0.0613873,0.00983884,0
AGTRAP,0,0,0,0,0,0,0,0,11.2768,0,0,0
AHCTF1P1,1.14936,1.75382,0.587629,0.7799,0.427397,0.640657,1.13995,0.346384,0.312314,0.386334,0,0
AHCY,88.0807,122.969,51.1059,152.923,38.4159,59.9608,44.2036,56.5362,14.2473,48.4785,64.8002,10.7259
AHCYL1,62.3444,71.6019,45.8307,65.878,30.3699,79.5575,41.9796,0,78.0535,0,19.2549,17.9554
AHNAK,14.817,51.7096,10.4508,5.3477,48.7698,5.70062,5.43068,4.3097,7.26516,12.6123,7.16187,3.72451
AHR,14.3241,26.4574,0,25.7142,5.17529,0,19.8326,6.30143,0,0,9.08176,6.54016
AHSA1,70.6272,96.0879,59.8018,73.1738,32.2445,50.2064,106.229,35.6208,13.464,53.4821,35.0257,11.4925
AHSP,0,0,0,0,1.06378,0,0,0.812482,0,0.502615,0,0
AIF1,0,0,0,0,33.9153,0,0,0,0,0,0,0
AIFM1,43.7252,33.7589,20.4768,31.2133,6.50475,35.131,14.7516,31.4612,17.3112,17.5256,21.5903,3.3472
AIG1,0,0,45.807,0,33.8004,22.7531,49.827,18.4813,9.53513,17.8107,0,7.90153
AIM1,3.98235,7.87735,5.28914,0,0.897243,3.22129,9.2084,2.51977,0,0,0,7.81314
AIM1L,0.142883,1.7628,2.33472,1.18281,0,0.790035,4.7523,0.278005,2.89211,2.10869,0.658195,0.174697
AIM2,0,0,0,0,0,0,11.7251,0,0,0,0,0
AIP,51.4151,43.3674,30.9688,68.6489,82.4719,52.741,40.8726,44.8305,14.0248,17.9151,19.517,16.7458
AJUBA,0,8.64979,0,5.18376,1.71687,0,10.3496,0,0.2499,4.26513,0,0
AK1,19.8034,136.15,42.1687,19.2232,27.3863,22.9784,7.85437,6.36301,2.74664,6.91464,6.6351,8.97799
AK3,0,0,0,0,0,0,0,0,0,0,7.83565,0
AK4,7.12946,7.67662,2.95239,4.00015,2.14173,8.54066,12.8182,4.00296,0.687568,2.55391,3.47,0.41411
AK7,10.2905,19.5115,13.82,6.62469,0,0.316099,0.0500449,1.49971,0.456056,0.744142,0,1.07416
AKAP1,14.5692,0,13.9384,18.3861,24.9494,5.34383,11.493,6.46051,7.89284,8.00836,7.09808,4.13413
AKAP11,0,0,0,0,0,0,0,0,0,0,0,1.60597
AKAP12,12.5365,19.338,3.92139,5.89619,26.0675,3.67984,2.48469,2.19019,17.5415,3.0167,1.67263,0
AKAP14,11.2209,0,0,0,0,0,0,0,0.800273,0,0,0
AKAP2;PALM2;PALM2-AKAP2,0,0,0,0,0,0,0,0,0,5.48455,0,0
AKAP3,0.963876,1.62511,0.85882,1.15022,0,0.183479,0.150134,0.493627,0.186053,0.731973,0,0.0267736
AKAP5,0.426474,0.377368,0,0.112863,0.852791,0.385218,0,0.28137,0,0.133919,0,0.229263
AKAP6,1.11062,0.251904,0,0.0914342,0.70398,0.0649883,0.0945483,0.091882,0.0864736,0.256459,0,1.15764
AKAP7,0,0,0,0,0,3.94453,0,0,0,0,0,0
AKD1,5.31039,6.81039,7.28346,0,1.48136,1.33075,0.76048,0.543791,3.44668,1.31581,1.51415,4.67789
AKNA,0,5.59086,7.68122,4.29041,5.77993,4.5228,5.01197,3.72889,1.61532,1.4918,0,5.61054
AKR1C1;AKR1C3,0,0,0,0,0,0,0,0,0,0,0,1.7284
ALAD,13.859,16.0039,11.8663,12.1058,14.077,16.5706,11.8627,20.2646,5.25614,4.03068,8.46417,3.89355
ALAS1,13.9615,18.8506,9.72409,16.6245,7.53893,14.1701,24.9601,7.6198,2.93592,8.80659,8.69045,2.52744
ALB,0,0,0,0,0,0,0,0,0,0,0,0.136465
ALCAM,33.5198,44.5526,29.2529,33.8568,6.85536,11.0815,41.8342,9.78793,23.8259,0,0,0
ALDH18A1,29.0717,31.399,20.5448,31.6168,8.02461,26.5965,48.8355,27.4244,13.6909,8.1292,15.1343,9.9902
ALDH1A1,14.9616,22.1249,34.8154,2.15332,58.922,16.7962,24.1487,3.25575,5.41405,10.0816,5.29991,38.5738
ALDH1A3,0,0,0,0,0,0,0,0,0,0,5.32407,0
ALDH1B1,43.6169,11.3047,4.2595,8.06864,32.9396,12.7747,26.1146,5.3812,0.833844,10.4866,5.48697,2.53297
ALDH2,33.8629,10.8117,38.5456,12.7191,143.775,33.466,75.8367,28.4488,0,0,27.5037,0
ALDH3A2,0,0,0,0,0,0,0,0,0,4.11063,0,0
ALDH3B1,20.1141,57.7925,35.5085,39.3086,4.13672,36.2572,11.1109,49.0353,0,0,5.19534,11.4696
ALDH5A1,7.12604,10.3052,6.87209,9.30989,1.46826,4.28977,2.72942,4.99195,1.56719,3.71678,1.43553,0.766208
ALDH9A1,25.5512,34.696,26.1657,10.7053,30.1778,23.7837,42.6049,24.5472,7.49785,14.4749,13.8814,21.4503
ALDOA,936.319,916.893,349.044,998.138,388.189,1357.25,494.235,760.337,257.354,297.747,252.717,117.145
ALDOC,7.2715,7.14887,4.3769,1.76471,12.7678,30.7794,11.4538,0.492554,0.231388,1.52057,2.59934,1.63765
ALG10B,0,1.07063,0.703045,0.837736,0.266969,0.783018,0.720048,0.762753,0.490767,0.292836,0,0
ALG12,0,0,0,0,0,0,0,0,0,2.29268,0,0
ALG2,10.763,11.4902,9.6952,9.14869,4.35126,10.1437,14.6309,8.63189,2.84635,4.21321,4.32118,1.89519
ALG5,28.2364,38.3314,52.2243,35.8351,29.7036,19.1537,150.298,12.7529,4.40771,6.87022,14.9319,3.45767
ALG9,2.52848,3.11999,0,4.79897,1.86078,5.5894,9.1575,1.95473,0,1.24977,0,0
ALKBH5,40.8081,45.4433,27.9375,32.1025,27.7466,0,48.4286,18.1349,4.38931,10.1696,20.225,0
ALOX5,21.3298,25.7145,0,57.1739,1.12387,31.2549,44.149,21.7905,20.1809,9.55978,9.40035,18.0263
ALOX5AP,46.024,32.4791,17.2936,23.0692,2.16195,96.362,71.0944,19.3252,2.86292,15.6465,6.94595,2.52911
ALPP,33.804,22.5309,2.12076,23.5267,0.0273541,0.969959,0,0,0,0.383347,0.145441,0.0310665
ALX1,1.10102,0.3817,0.54182,0.148735,8.6089,0,0,0,0.0350728,0.307772,0,0.436592
AMD1,15.1181,18.1466,8.51811,0,0,9.5974,33.2775,5.69623,2.04492,0,6.19012,0
AMFR,0,0,0,0,0,0,32.1949,0,0,0,0,0
AMH;MIR4321;SF3A2,0,0,0,0,0,20.8921,0,0,0,0,0,0
AMIGO2,0,0,0,0,0,0,0,0,0,0,0,0.775529
AMOT,4.73596,9.92998,3.74533,0,2.86134,6.29909,1.2617,11.363,0,3.54932,0,1.93764
AMOTL1,8.5923,0,5.18154,0,3.15386,4.06194,3.63969,2.78612,0.84128,1.0451,1.38959,1.56962
AMPD3,4.74056,7.39868,7.78669,3.04756,0.251209,8.58905,0,1.66643,1.29832,0.815941,1.72295,3.65193
AMZ2,23.9138,29.2232,16.3835,19.3013,21.5004,15.5354,28.746,12.7064,10.6494,7.87766,8.50077,6.89935
AMZ2P1,1.11379,1.36941,1.83927,0.584671,5.44065,1.32965,0,0.571217,0.356405,0.559088,0.635951,0
ANAPC11,85.5129,72.5609,49.8049,102.318,105.869,61.0907,76.7212,96.7997,16.123,44.2111,32.4404,21.7839
ANAPC4,27.0753,25.3817,38.8854,10.8794,6.1416,9.29779,11.7756,5.47565,13.5753,5.28503,6.03211,4.45959
ANG;RNASE4,20.0883,15.6453,13.4394,3.64247,110.978,28.9383,19.2899,7.89389,1.30921,0,4.98874,7.97409
ANGPT1,0.903275,0.251791,0.100672,0.00815139,1.75167,0.552499,0.496613,0.05362,0.14171,0,0.386323,0.387327
ANGPTL4,9.86581,8.64193,1.15318,1.73792,0.888622,44.5595,0.366312,5.77295,0,8.37841,3.25947,0
ANK1,0.664427,2.47654,1.11772,2.20595,0.17396,0.484799,0.26714,0.61363,0.0140058,0.015107,0.0137259,0.136035
ANK2,3.93383,3.72959,1.68296,0.160297,16.1647,6.41781,0.811964,0.22913,0.380802,0.484674,0,0
ANK3,4.75965,0,8.17062,6.06184,1.07758,4.87421,0.519995,0,6.63433,2.88524,3.31385,0
ANKMY1,0,0,14.1446,0,0,0,0,0,0,0,0,0
ANKMY2,0,0,0,0,0,0,0,0,0,1.29439,0,0
ANKRD1,0.238735,4.67892,0,0.378714,0,5.13174,0.406239,2.45044,0,0,0.553011,4.93147
ANKRD18B,0.301494,0,0,0.120126,0,0,0.0306249,0.0328161,0.0273662,0.0646492,0.039009,0.732087
ANKRD2,0.288461,1.47762,0,0.101418,0,3.06601,0.576202,0.289087,1.15142,0.195173,0.26829,0.108355
ANKRD28,0,10.8907,0,0,0,0,0,0,0,0,0,0
ANKRD29,0,0,0,0,11.3699,0,0,0,0,0,0,0
ANKRD35,1.83703,1.64547,1.44129,1.4649,38.7776,0.446738,0.610997,0.17359,0.259821,0.0658369,0.386404,0
ANKRD36,0.716339,0.633517,2.27445,1.49078,2.78225,0.359147,1.08386,0.779938,3.55624,0.829718,0.823905,1.20665
ANKRD36BP2,0.564507,0.405863,0.590145,0,0.196801,0,0,0,0.533675,0,0,0.0576507
ANKRD40,9.61831,8.73791,5.13598,6.98476,11.1229,6.63441,12.842,2.88184,2.21358,2.03583,3.53458,0
ANKRD45,0,0,0,2.5211,0,0,0,0,0,0,0,0
ANKRD50,3.23301,3.815,1.94348,2.71789,1.10675,2.43949,3.98233,2.47039,0.769797,0,0,0.579375
ANKRD53,1.12395,0,2.07507,0.580385,2.07926,0.159199,0.346419,0.175927,0.146199,0.116809,0.783495,0.175978
ANKRD54;MIR658,10.7291,21.2951,0,11.3343,8.2459,9.06705,8.15373,5.04871,0,4.50865,0,0
ANKRD66,0,0,13.5531,0,0,0,0,0,0,0,0,0
ANO1,27.4717,25.3987,0,19.3628,14.4809,9.74907,1.07247,4.87699,0.337621,0,1.86654,0
ANO10,7.52301,6.72533,3.2403,4.82862,5.93451,6.461,12.4631,5.24171,3.08344,7.30874,0,2.72961
ANP32A,39.4135,42.6024,26.6167,41.7169,27.1768,59.197,38.7405,36.2016,10.0726,22.943,18.3532,6.10515
ANP32AP1,24.97,27.073,69.8987,31.2059,18.892,43.5324,24.065,25.8311,0,60.5307,9.38682,0
ANPEP,15.8982,11.8513,10.0249,1.7102,2.20644,62.897,6.68516,1.47457,2.57051,13.4269,3.19131,22.7542
ANTXR2,11.3382,2.61425,2.95598,1.28432,8.70747,4.27644,6.29833,0.488132,0.136266,0.732038,0.916909,0.757283
ANXA1,329.375,811.958,381.219,674.446,60.5605,299.388,261.291,165.435,203.801,116.161,54.1229,166.487
ANXA2,0,215.38,0,0,0,0,0,0,0,0,19.4334,0
ANXA2P2,318.452,923.604,324.105,849.73,97.0746,286.391,445.606,214.007,95.9567,0,27.865,86.9606
ANXA2P3,25.0616,24.5649,18.5466,7.50145,0.607433,1.05022,12.3899,1.20868,3.90731,5.1753,1.08568,1.01331
ANXA3,34.5441,106.649,38.7623,63.4409,0.854418,37.3988,102.437,41.1603,9.33738,8.49893,13.3452,0
ANXA4,68.0116,0,99.6149,81.4974,0,0,28.809,0,20.2997,9.49643,15.5413,0
ANXA6,0,0,40.5231,0,0,0,47.6192,0,0,0,0,9.81356
ANXA7,0,0,0,0,0,0,0,0,0,16.6687,0,0
ANXA8L2,0.117731,0.867444,0.870598,0.520974,0.146875,0.0261154,0.205346,0.0382156,0,0,0,0
AOAH,2.4398,1.06343,2.00546,0.29435,0.363268,6.07743,0,0.418748,0.325738,1.6397,2.15663,4.056
AOC3,45.4673,0.451505,0.826154,0,76.9927,0.781055,2.41848,0.322022,0.335199,0.4266,3.01088,2.9929
AOX1,5.33511,2.95172,2.9222,1.31517,12.2843,2.1401,3.58542,0.17937,0.176406,1.73479,1.31623,3.08385
AP1AR,0,0,0,0,0,0,0,0,0,1.1208,0,0
AP1B1,0,0,0,0,0,30.4409,0,0,0,0,0,0
AP1G1,10.2012,16.1081,9.29706,11.0125,3.64785,11.3764,13.5883,8.21509,5.25676,4.21632,5.90683,2.94595
AP1M1,19.3101,19.6576,11.2083,16.1678,18.0259,21.6747,19.6549,10.4491,5.7698,4.98733,0,0
AP1M2,42.5689,68.7347,25.5646,91.8902,0,29.5086,20.7518,22.2908,16.3684,10.4996,14.4057,2.32897
AP1S1,78.6608,71.4473,29.074,67.6241,14.1553,52.8251,55.4323,38.1587,18.9911,17.207,19.1376,6.00081
AP1S2,5.94129,5.11658,2.9041,3.93477,4.34352,8.66671,15.9573,1.5125,0.647034,1.84672,2.97841,4.54504
AP1S3,0,5.70494,0,0,0,0,5.56403,0,0,0,0,0
AP2A2,14.1639,20.9943,10.9124,13.5491,8.63205,12.5192,24.1415,5.12255,6.71942,5.18872,5.70981,6.28978
AP2B1,33.2879,55.2932,23.2008,26.0054,10.5271,14.4644,41.5277,7.48048,5.99028,0,11.086,11.5009
AP2M1,0,0,0,0,0,0,0,0,0,0,81.1092,0
