gene,LMP_R1,LMP_R2,LMP_R3,LMP_R4,NML_genes.fpkm,PSO2_R1,PSO2_R2,PSO2_R3,PSO3_R1,PSO3_R2,PSO3_R3,PSO3_R4
GHSR,0,0,0,0,0.579747,0,0.0335527,0,0,0,0.0561584,0
GID4,4.46235,4.41267,2.51404,2.63388,4.70483,2.88559,3.25827,1.46147,1.86178,0.966873,1.53045,0
GIMAP1;GIMAP1-GIMAP5;GIMAP5,12.6309,1.84658,4.11232,0.741938,14.0264,14.1151,0,1.63114,1.4438,2.35333,0,4.40773
GIMAP2,5.01588,4.48276,5.01876,0.927586,4.56039,11.2733,17.9952,0,0.911042,1.45277,3.31589,0
GIMAP4,14.6612,2.76384,4.59668,0.94174,9.90587,20.4926,44.9002,3.28957,2.33048,4.54369,7.14323,5.3641
GIMAP6,5.91727,1.55957,1.49402,0.324898,4.24899,0,13.8821,0.646278,0.362174,0.760986,1.44701,0.771975
GIMAP8,3.85433,0.342694,1.17679,0.161755,3.78675,2.49891,7.20374,0.265697,0.619457,0.672064,1.49396,1.14281
GIN1,2.21312,1.97562,1.12924,2.40664,1.49094,0.773194,1.23632,0.716601,0.486489,0,0.635159,0.277355
GINS1,1.17599,1.85079,0.561848,1.48942,0.23848,1.70146,4.87053,4.03484,3.68269,3.76032,0,2.72899
GINS2,2.87118,4.33901,0.918262,4.7278,0.669305,3.94825,22.8537,13.6147,0.959652,4.78177,3.09512,0.955111
GINS3,1.78487,3.12784,1.34829,3.58299,1.41706,2.37416,7.00119,0,0.819606,1.38054,1.3985,0.415522
GIT1,14.4231,20.5808,9.48702,20.9383,13.4562,12.4834,19.1928,12.5243,0,6.4441,7.0394,6.74347
GJA1,36.77,33.7236,15.5255,32.8373,7.35294,38.6672,16.0018,11.2508,0.370024,21.5111,7.63035,5.84691
GJA4,12.5197,3.64654,6.68232,1.39107,5.64238,1.96053,5.12721,3.2135,0.249907,1.76803,2.08549,1.1163
GJA5,0,0,0,0,0,0,10.1405,0,0,0,0,0
GJA8,0,0,0,0,0,0,0,0,0,1.78043,0,0
GJA9;GJA9-MYCBP;MYCBP,11.6199,19.1132,15.6678,13.2486,3.02095,4.86935,17.1326,0,0,4.08242,0,0
GJB2,2.81088,5.41829,2.29907,3.52676,0.0366001,14.4761,150.784,6.52071,6.70912,3.0836,17.1079,0
GJB3,6.21622,21.5988,6.98457,18.4431,0.0413957,3.00567,8.80372,5.78055,0.550316,5.67901,0.529689,0.217064
GJB4,0.454846,2.26378,1.23552,2.35766,0,0,0,0.251522,0,0.116012,0.0156497,0.0530836
GJB5,0.785801,2.97247,2.03352,3.5608,0,0,0,4.16806,0,0.429368,0,0.118487
GJB6,0.107688,0.469078,0.482274,0.468051,0,0.233973,0.0419628,0.434958,0.429662,0.111682,0.0927803,0.0584617
GJD3,1.428,1.80615,0.907936,0,0.703803,0,2.10887,0.670535,0,0,0,0.330591
GKAP1,4.35835,3.00023,0,0,13.3876,1.92617,3.40732,0,0,4.56496,0,0
GLB1;TMPPE,17.6876,29.7448,14.2199,16.9621,6.95524,24.9473,20.4423,24.2411,3.19526,10.0518,7.99571,6.06779
GLB1L2,0,9.36904,13.7285,10.1435,0.700833,13.2178,5.42409,5.83097,2.13145,4.36425,5.20315,1.1664
GLDC,1.42052,1.05284,11.2591,3.2839,0,0.626336,0.735083,0.423544,0,25.9848,3.2486,0
GLG1,0,0,0,0,0,0,0,0,0,0,0,6.98942
GLIS3,0,12.4531,0,0,0,0,0,0,0,0,0,0
GLO1,39.9178,61.9147,33.9911,45.8328,44.506,54.0463,37.6927,33.1855,19.3495,11.8398,20.026,9.66432
GLRB,2.0464,4.84958,3.30945,2.50569,2.44631,2.43803,1.02303,1.86454,0.275475,0.167762,0,0.24117
